Account Analyst	ONET:AccountAnalyst
Accountancy Professor	ONET:AccountancyProfessor
Accountant	ONET:Accountant
Accountant Assistant	ONET:AccountantAssistant
Accountant Clerk	ONET:AccountantClerk
Accountant Helper	ONET:AccountantHelper
Accountant Supervisor	ONET:AccountantSupervisor
Account Auditor	ONET:AccountAuditor
Account Clerk	ONET:AccountClerk
Account Director	ONET:AccountDirector
Account Executive	ONET:AccountExecutive
Account Information Clerk	ONET:AccountInformationClerk
Accounting Administrator	ONET:AccountingAdministrator
Accounting Analyst	ONET:AccountingAnalyst
Accounting Assistant	ONET:AccountingAssistant
Accounting Associate	ONET:AccountingAssociate
Accounting Auditor	ONET:AccountingAuditor
Accounting Bookkeeper	ONET:AccountingBookkeeper
Accounting Clerk	ONET:AccountingClerk
Accounting Clerks Supervisor	ONET:AccountingClerksSupervisor
Accounting Consultant	ONET:AccountingConsultant
Accounting Coordinator	ONET:AccountingCoordinator
Accounting Director	ONET:AccountingDirector
Accounting Instructor	ONET:AccountingInstructor
Accounting Machine Mechanic	ONET:AccountingMachineMechanic
Accounting Machine Operator	ONET:AccountingMachineOperator
Accounting Manager	ONET:AccountingManager
Accounting Methods Analyst	ONET:AccountingMethodsAnalyst
Accounting Officer	ONET:AccountingOfficer
Accounting Professor	ONET:AccountingProfessor
Accounting Representative	ONET:AccountingRepresentative
Accounting Specialist	ONET:AccountingSpecialist
Accounting Staff Assistant	ONET:AccountingStaffAssistant
Accounting Supervisor	ONET:AccountingSupervisor
Accounting Systems Analyst	ONET:AccountingSystemsAnalyst
Accounting Teacher	ONET:AccountingTeacher
Accounting Technician	ONET:AccountingTechnician
Accounting Tutor	ONET:AccountingTutor
Account Leader	ONET:AccountLeader
Account Manager	ONET:AccountManager
Account Receivable Associate	ONET:AccountReceivableAssociate
Account Receivable Clerk	ONET:AccountReceivableClerk
Account Representative	ONET:AccountRepresentative
Accounts Adjustable Clerk	ONET:AccountsAdjustableClerk
Accounts Collector	ONET:AccountsCollector
Account Service Representative	ONET:AccountServiceRepresentative
Account Services Representative	ONET:AccountServicesRepresentative
Accounts Manager	ONET:AccountsManager
Accounts Payable Associate	ONET:AccountsPayableAssociate
Accounts Payable Clerk	ONET:AccountsPayableClerk
Accounts Payable Coordinator	ONET:AccountsPayableCoordinator
Accounts Payable Manager	ONET:AccountsPayableManager
Accounts Payables Clerk	ONET:AccountsPayablesClerk
Accounts Payable Specialist	ONET:AccountsPayableSpecialist
Accounts Payable Supervisor	ONET:AccountsPayableSupervisor
Account Specialist	ONET:AccountSpecialist
Accounts Receivable Assistant	ONET:AccountsReceivableAssistant
Accounts Receivable Clerk	ONET:AccountsReceivableClerk
Accounts Receivable Coordinator	ONET:AccountsReceivableCoordinator
Accounts Receivable Manager	ONET:AccountsReceivableManager
Accounts Receivable Specialist	ONET:AccountsReceivableSpecialist(ARSpecialist)
AR Specialist	ONET:AccountsReceivableSpecialist(ARSpecialist)
Accounts Receivable Supervisor	ONET:AccountsReceivableSupervisor
Accounts Representative	ONET:AccountsRepresentative
Accounts Supervisor	ONET:AccountsSupervisor
Account Supervisor	ONET:AccountSupervisor
Account Underwriter	ONET:AccountUnderwriter
Accreditation Lieutenant	ONET:AccreditationLieutenant
Accreditation Manager	ONET:AccreditationManager
Accredited Farm Manager	ONET:AccreditedFarmManager(AFM)
AFM	ONET:AccreditedFarmManager(AFM)
Accredited Financial Counselor	ONET:AccreditedFinancialCounselor
Accredited Legal Secretary	ONET:AccreditedLegalSecretary
Accredited Pharmacy Technician	ONET:AccreditedPharmacyTechnician
Accuracy Expert	ONET:AccuracyExpert
AC/DC Rewinder	ONET:AC/DCRewinder(AlternatingCurrentAndDirectCurrentRewinder)
Alternating Current and Direct Current Rewinder	ONET:AC/DCRewinder(AlternatingCurrentAndDirectCurrentRewinder)
ACDS Block 1 Operator	ONET:ACDSBlock1Operator
Acetone Button Paster	ONET:AcetoneButtonPaster
Acetone Recovery Worker	ONET:AcetoneRecoveryWorker
Acetylene Burner	ONET:AcetyleneBurner
Acetylene Cutter	ONET:AcetyleneCutter
Acetylene Cylinder Packing Mixer	ONET:AcetyleneCylinderPackingMixer
Acetylene Gas Compressor	ONET:AcetyleneGasCompressor
Acetylene Operator	ONET:AcetyleneOperator
Acetylene Plant Operator	ONET:AcetylenePlantOperator
Acetylene Torch Burner	ONET:AcetyleneTorchBurner
Acetylene Torch Operator	ONET:AcetyleneTorchOperator
Acetylene Torch Solderer	ONET:AcetyleneTorchSolderer
Acid Adjuster	ONET:AcidAdjuster
Acid Bleacher	ONET:AcidBleacher
Acid Blower	ONET:AcidBlower
Acid Cleaner	ONET:AcidCleaner
Acid Concentrator	ONET:AcidConcentrator
Acid Condenser	ONET:AcidCondenser
Acid Conditioning Worker	ONET:AcidConditioningWorker
Acid Crane Operator	ONET:AcidCraneOperator
Acid Dipper	ONET:AcidDipper
Acid Dumper	ONET:AcidDumper
Acid Etch Operator	ONET:AcidEtchOperator
Acid Extractor	ONET:AcidExtractor
Acid Filler	ONET:AcidFiller
Acidity Tester	ONET:AcidityTester
Acidizer	ONET:Acidizer
Acid Loader	ONET:AcidLoader
Acid Maker	ONET:AcidMaker
Acid Mixer	ONET:AcidMixer
Acid Operator	ONET:AcidOperator
Acid Painter	ONET:AcidPainter
Acid Patroller	ONET:AcidPatroller
Acid Polymerization Operator	ONET:AcidPolymerizationOperator
Acid Pump Operator	ONET:AcidPumpOperator
Acid Purification Equipment Operator	ONET:AcidPurificationEquipmentOperator
Acid Purifier	ONET:AcidPurifier
Acid Recovery Operator	ONET:AcidRecoveryOperator
Acid Regenerator	ONET:AcidRegenerator
Acid Remover	ONET:AcidRemover
Acid Retort Operator	ONET:AcidRetortOperator
Acid Splicer	ONET:AcidSplicer
Acid Supervisor	ONET:AcidSupervisor
Acid Tender	ONET:AcidTender
Acid Tester	ONET:AcidTester
Acid Treater	ONET:AcidTreater
A/C Installer-Servicer	ONET:A/CInstaller-Servicer(AirConditioningInstaller-Servicer)
Air Conditioning Installer-Servicer	ONET:A/CInstaller-Servicer(AirConditioningInstaller-Servicer)
AC Installer Supervisor	ONET:ACInstallerSupervisor(Air-ConditioningInstallerSupervisor)
Air-Conditioning Installer Supervisor	ONET:ACInstallerSupervisor(Air-ConditioningInstallerSupervisor)
A/C Mechanic	ONET:Air-ConditioningMechanic(A/CMechanic)
Air Conditioner Mechanic	ONET:A/CMechanic(AirConditionerMechanic)
ACNP	ONET:ACNP(AcuteCareNursePractitioner)
Acute Care Nurse Practitioner	ONET:ACNP(AcuteCareNursePractitioner)
Acoustical Carpenter	ONET:AcousticalCarpenter
Acoustical Ceiling Installer	ONET:AcousticalCeilingInstaller
Acoustical Engineer	ONET:AcousticalEngineer
Acoustical Installer	ONET:AcousticalInstaller
Acoustical Material Worker	ONET:AcousticalMaterialWorker
Acoustical Tile Carpenters' Supervisor	ONET:AcousticalTileCarpenters'Supervisor
Acoustical Tile Drill Press Operator	ONET:AcousticalTileDrillPressOperator
Acoustical Tile Patternmaker	ONET:AcousticalTilePatternmaker
Acoustic Sensor Operator	ONET:AcousticSensorOperator
Acoustics Teacher	ONET:AcousticsTeacher
Acquisition Analyst	ONET:AcquisitionAnalyst
Acquisition Cost Estimator	ONET:AcquisitionCostEstimator
Acquisition Logistics Engineer	ONET:AcquisitionLogisticsEngineer
Acquisitions Analyst	ONET:AcquisitionsAnalyst
Acquisitions Assistant	ONET:AcquisitionsAssistant
Acquisitions Consultant	ONET:AcquisitionsConsultant
Acquisitions Editor	ONET:AcquisitionsEditor
Acquisitions Librarian	ONET:AcquisitionsLibrarian
Acquisitions Logistics Analyst	ONET:AcquisitionsLogisticsAnalyst
Acquisition Specialist	ONET:AcquisitionSpecialist
Acreage Reporter	ONET:AcreageReporter
Acrobat	ONET:Acrobat
Acrobatic Dancer	ONET:AcrobaticDancer
Acrobatic Rigger	ONET:AcrobaticRigger
AC Supervisor	ONET:ACSupervisor(AirConditioningSupervisor)
Air Conditioning Supervisor	ONET:ACSupervisor(AirConditioningSupervisor)
A/C Tech	ONET:A/CTech(AirConditioningTechnician)
Air Conditioning Technician	ONET:A/CTech(AirConditioningTechnician)
Acting Teacher	ONET:ActingTeacher
Action Finisher	ONET:ActionFinisher
Action Installer	ONET:ActionInstaller
Action Officer	ONET:ActionOfficer
Activist	ONET:Activist
Activities Aide	ONET:ActivitiesAide
Activities Assistant	ONET:ActivitiesAssistant
Activities Attendant	ONET:ActivitiesAttendant
Activities Concierge	ONET:ActivitiesConcierge
Activities Coordinator	ONET:ActivitiesCoordinator
Activities Counselor	ONET:ActivitiesCounselor
Activities Director	ONET:ActivitiesDirector
Activities Leader	ONET:ActivitiesLeader
Activities Therapist	ONET:ActivitiesTherapist
Activity Aide	ONET:ActivityAide
Activity Assistant	ONET:ActivityAssistant
Activity Coordinator	ONET:ActivityCoordinator
Activity Director	ONET:ActivityDirector
Activity Leader	ONET:ActivityLeader
Activity Specialist	ONET:ActivitySpecialist
Activity Therapist	ONET:ActivityTherapist
Activity Therapy Teacher	ONET:ActivityTherapyTeacher
Actor	ONET:Actor
Actor Understudy	ONET:ActorUnderstudy
Actress	ONET:Actress
ACT Tutor	ONET:ACTTutor(AmericanCollegeTestTutor)
American College Test Tutor	ONET:ACTTutor(AmericanCollegeTestTutor)
Actuarial Analyst	ONET:ActuarialAnalyst
Actuarial Assistant	ONET:ActuarialAssistant
Actuarial Associate	ONET:ActuarialAssociate
Actuarial Consultant	ONET:ActuarialConsultant
Actuarial Manager	ONET:ActuarialManager
Actuarial Mathematician	ONET:ActuarialMathematician
Actuarial Science Professor	ONET:ActuarialScienceProfessor
Actuarial Science Teacher	ONET:ActuarialScienceTeacher
Actuarial Technician	ONET:ActuarialTechnician
Actuary	ONET:Actuary
Actuary Clerk	ONET:ActuaryClerk
Acupressure Therapist	ONET:AcupressureTherapist
Acupressurist	ONET:Acupressurist
Acupuncture Doctor	ONET:AcupunctureDoctor
Acupuncture Physician	ONET:AcupuncturePhysician
Acupuncture Provider	ONET:AcupunctureProvider
Acupuncturist	ONET:Acupuncturist
Acute Care Nurse	ONET:AcuteCareNurse
Acute Care Occupational Therapy Assistant	ONET:AcuteCareOccupationalTherapyAssistant
Acute Care Physician	ONET:AcuteCarePhysician
Acute Care PT	ONET:AcuteCarePT(AcuteCarePhysicalTherapist)
Acute Care Physical Therapist	ONET:AcuteCarePT(AcuteCarePhysicalTherapist)
Acute Editor	ONET:AcuteEditor
Adapted Fitness Professional	ONET:AdaptedFitnessProfessional
Adapted Physical Activity Specialist	ONET:AdaptedPhysicalActivitySpecialist
Adapted Physical Education Specialist	ONET:AdaptedPhysicalEducationSpecialist(APESpecialist)
APE Specialist	ONET:AdaptedPhysicalEducationSpecialist(APESpecialist)
Adapted Physical Education Teacher	ONET:AdaptedPhysicalEducationTeacher(AdaptedPETeacher)
Adapted PE Teacher	ONET:AdaptedPhysicalEducationTeacher(AdaptedPETeacher)
Adapted Physical Educator	ONET:AdaptedPhysicalEducator
Adaptive Physical Education Specialist	ONET:AdaptivePhysicalEducationSpecialist(AdaptivePESpecialist)
Adaptive PE Specialist	ONET:AdaptivePhysicalEducationSpecialist(AdaptivePESpecialist)
Adaptive Physical Education Teacher	ONET:AdaptivePhysicalEducationTeacher(AdaptivePETeacher)
Adaptive PE Teacher	ONET:AdaptivePhysicalEducationTeacher(AdaptivePETeacher)
Adaptive Physical Educator	ONET:AdaptivePhysicalEducator
Adaptive Skills Educator	ONET:AdaptiveSkillsEducator
Ad Compositor	ONET:AdCompositor
Ad Copy Writer	ONET:AdCopyWriter
Addiction Counselor	ONET:AddictionCounselor
Addiction Psychiatrist	ONET:AddictionPsychiatrist
Addictions Counselor	ONET:AddictionsCounselor
Addictions Counselor Assistant	ONET:AddictionsCounselorAssistant
Addiction Therapist	ONET:AddictionTherapist
Adding Machine Mechanic	ONET:AddingMachineMechanic
Adding Machine Operator	ONET:AddingMachineOperator
Additive Manufacturing Production Technician	ONET:AdditiveManufacturingProductionTechnician
Addresser	ONET:Addresser
Addressing Machine Operator	ONET:AddressingMachineOperator
Addressograph Operator	ONET:AddressographOperator
Adhesive Bandage Machine Operator	ONET:AdhesiveBandageMachineOperator
Adhesive Bandage Making Operator	ONET:AdhesiveBandageMakingOperator
Adhesive Laminator	ONET:AdhesiveLaminator
Adhesive Primer	ONET:AdhesivePrimer
Adjudications Specialist	ONET:AdjudicationsSpecialist
Adjudicator	ONET:Adjudicator
Adjunct Anthropology Instructor	ONET:AdjunctAnthropologyInstructor
Adjunct Anthropology Lecturer	ONET:AdjunctAnthropologyLecturer
Adjunct Biology Instructor	ONET:AdjunctBiologyInstructor
Adjunct Communications Faculty Member	ONET:AdjunctCommunicationsFacultyMember
Adjunct Economics Instructor	ONET:AdjunctEconomicsInstructor
Adjunct English Instructor	ONET:AdjunctEnglishInstructor
Adjunct Faculty Member	ONET:AdjunctFacultyMember
Adjunct History Instructor	ONET:AdjunctHistoryInstructor
Adjunct Instructor	ONET:AdjunctInstructor
Adjunct Mathematics Instructor	ONET:AdjunctMathematicsInstructor
Adjunct Physics Instructor	ONET:AdjunctPhysicsInstructor
Adjunct Political Science Instructor	ONET:AdjunctPoliticalScienceInstructor
Adjunct Professor	ONET:AdjunctProfessor
Adjunct Psychology Faculty Member	ONET:AdjunctPsychologyFacultyMember
Adjunct Psychology Instructor	ONET:AdjunctPsychologyInstructor
Adjunct Spanish Instructor	ONET:AdjunctSpanishInstructor
Adjunct Teacher	ONET:AdjunctTeacher
Adjunct Writing Instructor	ONET:AdjunctWritingInstructor
Adjustable Steel Joist Setting Supervisor	ONET:AdjustableSteelJoistSettingSupervisor
Adjuster	ONET:Adjuster
Adjustment Clerk	ONET:AdjustmentClerk
Adjustment Examiner	ONET:AdjustmentExaminer
Adjustment Supervisor	ONET:AdjustmentSupervisor
Adjusto-Writer Operator	ONET:Adjusto-WriterOperator
Admeasurer	ONET:Admeasurer
Administration Clerk	ONET:AdministrationClerk
Administration Dean	ONET:AdministrationDean
Administrative Aide	ONET:AdministrativeAide
Administrative Analyst	ONET:AdministrativeAnalyst
Administrative Assistant	ONET:AdministrativeAssistant(AdminAssistant)
Admin Assistant	ONET:AdministrativeAssistant(AdminAssistant)
Administrative Associate	ONET:AdministrativeAssociate
Administrative Clerk	ONET:AdministrativeClerk(AdminClerk)
Admin Clerk	ONET:AdministrativeClerk(AdminClerk)
Administrative Coordinator	ONET:AdministrativeCoordinator
Administrative Court Justice	ONET:AdministrativeCourtJustice
Administrative Dietitian	ONET:AdministrativeDietitian
Administrative Director	ONET:AdministrativeDirector
Administrative Hearings Officer	ONET:AdministrativeHearingsOfficer
Administrative Judge	ONET:AdministrativeJudge
Administrative Law Judge	ONET:AdministrativeLawJudge
Administrative Liaison	ONET:AdministrativeLiaison
Administrative Library Assistant	ONET:AdministrativeLibraryAssistant
Administrative Manager	ONET:AdministrativeManager
Administrative Office Assistant	ONET:AdministrativeOfficeAssistant
Administrative Officer	ONET:AdministrativeOfficer
Administrative Office Specialist	ONET:AdministrativeOfficeSpecialist
Administrative Resources Associate	ONET:AdministrativeResourcesAssociate
Administrative Secretary	ONET:AdministrativeSecretary(AdminSecretary)
Admin Secretary	ONET:AdministrativeSecretary(AdminSecretary)
Administrative Services Assistant	ONET:AdministrativeServicesAssistant
Administrative Services Manager	ONET:AdministrativeServicesManager
Administrative Specialist	ONET:AdministrativeSpecialist(AdminSpecialist)
Admin Specialist	ONET:AdministrativeSpecialist(AdminSpecialist)
Administrative Supervisor	ONET:AdministrativeSupervisor
Administrative Support Assistant	ONET:AdministrativeSupportAssistant(ASA)
ASA	ONET:AdministrativeSupportAssistant(ASA)
Administrative Support Specialist	ONET:AdministrativeSupportSpecialist
Administrative Technician	ONET:AdministrativeTechnician(AdminTech)
Admin Tech	ONET:AdministrativeTechnician(AdminTech)
Administrator	ONET:Administrator
Admiralty Lawyer	ONET:AdmiraltyLawyer
Admission Nurse	ONET:AdmissionNurse
Admissions Advisor	ONET:AdmissionsAdvisor
Admissions Associate	ONET:AdmissionsAssociate
Admissions Clerk	ONET:AdmissionsClerk
Admissions Coordinator	ONET:AdmissionsCoordinator
Admissions Counselor	ONET:AdmissionsCounselor
Admissions Dean	ONET:AdmissionsDean
Admissions Director	ONET:AdmissionsDirector
Admissions Evaluator	ONET:AdmissionsEvaluator
Admissions Representative	ONET:AdmissionsRepresentative
Admissions Specialist	ONET:AdmissionsSpecialist
Admissions Supervisor	ONET:AdmissionsSupervisor
Admit Clerk	ONET:AdmitClerk
Admittance Attendant	ONET:AdmittanceAttendant
Admitting Clerk	ONET:AdmittingClerk
Admitting Interviewer	ONET:AdmittingInterviewer
Admitting Office Escort	ONET:AdmittingOfficeEscort
Admitting Officer	ONET:AdmittingOfficer
Admitting Representative	ONET:AdmittingRepresentative
Adobe Block Maker	ONET:AdobeBlockMaker
Adobe Layer	ONET:AdobeLayer
Adobe Layer Helper	ONET:AdobeLayerHelper
Adobe Maker	ONET:AdobeMaker
Adolescent Counselor	ONET:AdolescentCounselor
Adoption Agent	ONET:AdoptionAgent
Adoption Coordinator	ONET:AdoptionCoordinator
Adoption Counselor	ONET:AdoptionCounselor
Adoption Services Manager	ONET:AdoptionServicesManager
Adoption Social Worker	ONET:AdoptionSocialWorker
Adoption Specialist	ONET:AdoptionSpecialist
Adoption Worker	ONET:AdoptionWorker
Ad Setter	ONET:AdSetter
Ad Taker	ONET:AdTaker(AdvertisingTaker)
Advertising Taker	ONET:AdTaker(AdvertisingTaker)
Adult and Pediatric Neurologist	ONET:AdultAndPediatricNeurologist
Adult Basic Education Instructor	ONET:AdultBasicEducationInstructor(ABEInstructor)
ABE Instructor	ONET:AdultBasicEducationInstructor(ABEInstructor)
Adult Basic Education Manager	ONET:AdultBasicEducationManager
Adult Basic Education Teacher	ONET:AdultBasicEducationTeacher(ABETeacher)
ABE Teacher	ONET:AdultBasicEducationTeacher(ABETeacher)
Adult Basic Studies Teacher	ONET:AdultBasicStudiesTeacher
Adult Crossing Guard	ONET:AdultCrossingGuard
Adult Daycare Coordinator	ONET:AdultDaycareCoordinator
Adult Education Instructor	ONET:AdultEducationInstructor
Adult Education Teacher	ONET:AdultEducationTeacher
Adult Educator	ONET:AdultEducator
Adult ESL TA	ONET:AdultESLTA(AdultEnglishAsASecondLanguageTeachingAide)
Adult English as a Second Language Teaching Aide	ONET:AdultESLTA(AdultEnglishAsASecondLanguageTeachingAide)
Adult ESL Teacher	ONET:AdultESLTeacher(AdultEnglishAsASecondLanguageTeacher)
Adult English as a Second Language Teacher	ONET:AdultESLTeacher(AdultEnglishAsASecondLanguageTeacher)
Adult Family Home Program Manager	ONET:AdultFamilyHomeProgramManager
Adult Health Clinical Nurse Specialist	ONET:AdultHealthClinicalNurseSpecialist
Adult Literacy Instructor	ONET:AdultLiteracyInstructor
Adult Literacy Teacher	ONET:AdultLiteracyTeacher
Adult Literacy Teaching Aide	ONET:AdultLiteracyTeachingAide(AdultLiteracyTA)
Adult Literacy TA	ONET:AdultLiteracyTeachingAide(AdultLiteracyTA)
Adult Ministries Director	ONET:AdultMinistriesDirector
Adult Neurologist	ONET:AdultNeurologist
Adult Neuropsychologist	ONET:AdultNeuropsychologist
Adult Nurse Practitioner	ONET:AdultNursePractitioner
Adult Probation Officer	ONET:AdultProbationOfficer
Adult Protective Services Social Worker	ONET:AdultProtectiveServicesSocialWorker
Adult Psychiatric-Mental Health Nurse Practitioner	ONET:AdultPsychiatric-MentalHealthNursePractitioner
Adult Psychiatric Mental Health Nurse Practitioner	ONET:AdultPsychiatricMentalHealthNursePractitioner
Adult Psychiatrist	ONET:AdultPsychiatrist
Adult Remedial Education Instructor	ONET:AdultRemedialEducationInstructor
Adult School Counselor	ONET:AdultSchoolCounselor
Adult School Teacher	ONET:AdultSchoolTeacher
Adult Secondary Education Instructor	ONET:AdultSecondaryEducationInstructor
Advance Agent	ONET:AdvanceAgent
Advanced Air Mobility Operator	ONET:AdvancedAirMobilityOperator(AAMOperator)
AAM Operator	ONET:AdvancedAirMobilityOperator(AAMOperator)
Advanced Air Mobility Pilot	ONET:AdvancedAirMobilityPilot(AAMPilot)
AAM Pilot	ONET:AdvancedAirMobilityPilot(AAMPilot)
Advanced Air Mobility Technician	ONET:AdvancedAirMobilityTechnician(AAMTechnician)
AAM Technician	ONET:AdvancedAirMobilityTechnician(AAMTechnician)
Advanced Analytics Associate	ONET:AdvancedAnalyticsAssociate
Advanced Foreign Counterintelligence Officer	ONET:AdvancedForeignCounterintelligenceOfficer(AFCO)
AFCO	ONET:AdvancedForeignCounterintelligenceOfficer(AFCO)
Advanced Foreign Counterintelligence Specialist	ONET:AdvancedForeignCounterintelligenceSpecialist(AFCS)
AFCS	ONET:AdvancedForeignCounterintelligenceSpecialist(AFCS)
Advanced Military Source Operations Officer	ONET:AdvancedMilitarySourceOperationsOfficer(AMSOO)
AMSOO	ONET:AdvancedMilitarySourceOperationsOfficer(AMSOO)
Advanced Military Source Operations Specialist	ONET:AdvancedMilitarySourceOperationsSpecialist(AMOS)
AMOS	ONET:AdvancedMilitarySourceOperationsSpecialist(AMOS)
Advanced Nursing Professor	ONET:AdvancedNursingProfessor
Advanced Practice Nurse	ONET:AdvancedPracticeNurse(APN)
APN	ONET:AdvancedPracticeNurse(APN)
Advanced Practice Nurse Psychotherapist	ONET:AdvancedPracticeNursePsychotherapist(APNPsychotherapist)
APN Psychotherapist	ONET:AdvancedPracticeNursePsychotherapist(APNPsychotherapist)
Advanced Practice Provider	ONET:AdvancedPracticeProvider
Advanced Practice Psychiatric Nurse	ONET:AdvancedPracticePsychiatricNurse
Advanced Practice Registered Nurse	ONET:AdvancedPracticeRegisteredNurse(APRN)
APRN	ONET:AdvancedPracticeRegisteredNurse(APRN)
Advanced Seal Delivery System	ONET:AdvancedSealDeliverySystem
Advanced TOMAHAWK Weapon Control System (ATWCS) AN/SWG-4 Operator and Maintenance Technician	ONET:AdvancedTOMAHAWKWeaponControlSystem(ATWCS)AN/SWG-4OperatorAndMaintenanceTechnician
Advance Seal Delivery System Maintainer	ONET:AdvanceSealDeliverySystemMaintainer
Adventure Education Teacher	ONET:AdventureEducationTeacher
Adventure Guide	ONET:AdventureGuide
Adventure Therapist	ONET:AdventureTherapist
Advertisement Compositor	ONET:AdvertisementCompositor
Advertisement Distributor	ONET:AdvertisementDistributor
Advertising Account Executive	ONET:AdvertisingAccountExecutive(AdAccountExecutive)
